,all tokens,in hedo,scores,not in hedo,category,weights,happy category,all_ind,Big4,normed mean happiness,gender category
GirlOnGirlIsHot,"['Girl', 'On', 'Girl', 'Is', 'Hot']","['girl', 'girl']","[7.0, 7.0]","['on', 'is', 'hot']",,"[2, 2]",happy,"['Analysis', 'BestKnownForTheFanservice', 'TheComicallySerious', 'DistaffCounterpart', 'DoubleEntendre', 'DoubleStandard', 'EvenTheGirlsWantHer', 'ExactlyWhatItSaysOnTheTin', 'ExplainExplainOhCrap', 'Flanderization', 'GenderBender', 'GenderDynamicsIndex', 'HasTwoMommies', 'HomoeroticSubtext', 'HomophobiaIndex', 'IncestSubtext', 'MasculineGirlFeminineBoy', 'MenAreTough', 'OncePerEpisode', 'PanderingToTheBase', 'PeripheryDemographic', 'QueerAsTropes', 'QueerMedia', 'RightForTheWrongReasons', 'RomanceGame', 'SexTropes', 'ShipMates', 'ShipperOnDeck', 'SignatureScene', 'Transgender', 'TriangRelations', 'TropesInAggregate', 'TurnOfTheMillennium', 'WomenAreDelicate', 'YuriGenre']","['NarrativeTropes', 'TopicalTropes']",7.0,female
FinalGirl,"['Final', 'Girl']",['girl'],[7.0],['final'],,[2],happy,"['AlwaysFemale', 'CaptainErsatz', 'CharactersAsDevice', 'DeadUnicornTrope', 'DeathTropes', 'DirtyCoward', 'EndingTropes', 'FilmsOf20152019', 'GenderAndSexualityTropes', 'GenderDynamicsIndex', 'HorrorComedy', 'HorrorTropes', 'ImprobableInfantSurvival', 'IncestSubtext', 'InfantImmortality', 'InteractiveFiction', 'KillEmAll', 'ListOfBadassTropes', 'MaybeMagicMaybeMundane', 'MeaningfulAppearance', 'TheNineties', 'NotQuiteDead', 'NotSoSmallRole', 'OneHitWonder', 'PopularityPolynomial', 'SeasonalRot', 'SlasherMovie', 'SpoileredRotten', 'SuddenSequelDeathSyndrome', 'SuperDrowningSkills', 'SurvivalHorror', 'SurvivorshipBias', 'UndeadHorseTrope', 'Unicorn', 'VictimhoodTropes', 'VideoGamesOf20102014', 'WebGames', 'WhatKindOfLamePowerIsHeartAnyway', 'WomanlinessAsPathos', 'WomenAreDelicate', 'YouHaveOutlivedYourUsefulness']","['GenreTropes', 'NarrativeTropes', 'TopicalTropes']",7.0,female
MenBuyFromMarsWomenBuyFromVenus,"['Men', 'Buy', 'From', 'Mars', 'Women', 'Buy', 'From', 'Venus']",['women'],[7.12],"['men', 'buy', 'from', 'mars', 'buy', 'from', 'venus']",,[2],happy,"['AcceptableFeminineGoalsAndTraits', 'AdvertisingTropes', 'DoubleStandard', 'GenderDynamicsIndex', 'JustForPun', 'Stereotype', 'WomenAreDelicate']","['GenreTropes', 'NarrativeTropes', 'TopicalTropes']",7.12,
TheWisePrince,"['The', 'Wise', 'Prince']",['wise'],[7.1],"['the', 'prince']",,[2],happy,"['AlwaysMale', 'CursedWithAwesome', 'DefeatMeansFriendship', 'DistaffCounterpart', 'TheEvilPrince', 'FaceHeelTurn', 'GetAHoldOfYourselfMan', 'HeroTropes', 'Heroes', 'MeaningfulTitles', 'OutOfFocus', 'PlotCoupon', 'PoliticsTropes', 'PrincelyTropes', 'ReformedButNotTamed', 'RoyalsWhoActuallyDoSomething', 'RoyaltyAndNobilityTropes', 'SpellMyNameWithAThe', 'TropesOfWisdom', 'WrittenByTheWinners']","['NarrativeTropes', 'TopicalTropes']",7.1,male
HouseHusband,"['House', 'Husband']",['husband'],[6.62],['house'],,[1],happy,"['AlwaysMale', 'CleanlinessTropes', 'DistaffCounterpart', 'DoubleStandard', 'ExplainExplainOhCrap', 'GenderDynamicsIndex', 'InTouchWithHisFeminineSide', 'Iyashikei', 'MarriageTropes', 'MasculineGirlFeminineBoy', 'MenAreTough', 'MistakenForGay', 'TheParentTrope', 'RealMenWearPink', 'StayInTheKitchen', 'StockCharacters']","['NarrativeTropes', 'TopicalTropes']",6.62,male
MaleMightFemaleFinesse,"['Male', 'Might', 'Female', 'Finesse']",['female'],[6.88],"['male', 'might', 'finesse']",,[2],happy,"['DaintyCombat', 'DuoTropes', 'Ensembles', 'Foil', 'GenderDynamicsIndex', 'MenAreTough', 'WomenAreDelicate']","['NarrativeTropes', 'TopicalTropes']",6.88,
MagicalGirlQueenlinessTest,"['Magical', 'Girl', 'Queenliness', 'Test']","['magical', 'girl', 'test']","[7.38, 7.0, 4.06]",['queenliness'],,"[2, 2, -1]",happy,"['MagicalGirlTropes', 'NarrativeDevices', 'PrincessTropes', 'RoyaltyAndNobilityTropes', 'TestAndTrialTropes']","['NarrativeTropes', 'TopicalTropes']",6.15,female
BehindEveryGreatMan,"['Behind', 'Every', 'Great', 'Man']",['great'],[7.88],"['behind', 'every', 'man']",,[3],happy,"['AcceptableFeminineGoalsAndTraits', 'DeconstructedCharacterArchetype', 'DoubleStandard', 'MenActWomenAre', 'MenAreTough', 'WomenAreDelicate']",[],7.88,male
RealMenTakeItBlack,"['Real', 'Men', 'Take', 'It', 'Black']",['real'],[6.78],"['men', 'take', 'it', 'black']",,[1],happy,"['BeverageTropes', 'FoodAsCharacterization', 'ItsNotPornItsAnIndex', 'MasculinityTropes', 'MemeticPersonalityChange', 'MenAreTough']",[],6.78,male
TrophyWife,"['Trophy', 'Wife']",['wife'],[6.62],['trophy'],,[1],happy,"['AgeGapRomance', 'AmericanSeries', 'AnachronicOrder', 'CharactersAsDevice', 'DomesticAbuse', 'Dramedy', 'FairForItsDay', 'MarriageTropes', 'ReformedButNotTamed', 'SeriesOfThe2010s', 'ShortRunners', 'UndeadHorseTrope', 'VillainousCrush', 'WomenAreDelicate']","['NarrativeTropes', 'TopicalTropes']",6.62,female
TheWomanWearingTheQueenlyMask,"['The', 'Woman', 'Wearing', 'The', 'Queenly', 'Mask']",['woman'],[6.84],"['the', 'wearing', 'the', 'queenly', 'mask']",,[1],happy,"['AlwaysFemale', 'AuthorityTropes', 'BecomingTheMask', 'DeconstructedCharacterArchetype', 'DefrostingIceQueen', 'DistaffCounterpart', 'TheEvilPrince', 'TheExoticDetective', 'Fanvid', 'GenderDynamicsIndex', 'IceQueen', 'ImportantHaircut', 'TheLastOfTheseIsNotLikeTheOthers', 'MasculineGirlFeminineBoy', 'RoyaltyAndNobilityTropes', 'SamusIsAGirl', 'SpellMyNameWithAThe', 'StarCrossedLovers', 'TheStoic', 'WomenAreDelicate']","['NarrativeTropes', 'TopicalTropes']",6.84,female
WomenAreWiser,"['Women', 'Are', 'Wiser']",['women'],[7.12],"['are', 'wiser']",,[2],happy,"['AdaptationalWimp', 'AlwaysFemale', 'AttractionToOutliers', 'BizarreAlienReproduction', 'BrokenAesop', 'CallingYourAttacks', 'CharacterExaggeration', 'CloserToEarth', 'DeliberateValuesDissonance', 'DistaffCounterpart', 'DistressedDude', 'DivergentCharacterEvolution', 'DoubleStandard', 'TheEvilPrince', 'EvolvingTrope', 'TheFace', 'FairForItsDay', 'FiveManBand', 'GenderAndSexualityTropes', 'GenderBender', 'GenderDynamicsIndex', 'MasculineGirlFeminineBoy', 'MaturityTropes', 'MenAreTough', 'ShowingUpChauvinists', 'StockAesops', 'StockGods', 'StraightMan', 'TheUnfairSex', 'WhatHappenedToTheMouse', 'WomanlinessAsPathos', 'WomenAreDelicate', 'YamatoNadeshiko']","['NarrativeTropes', 'TopicalTropes']",7.12,female
WifeHusbandry,"['Wife', 'Husbandry']",['wife'],[6.62],['husbandry'],,[1],happy,"['AdaptationDisplacement', 'AdaptationalContextChange', 'AgeGapRomance', 'BrokenPedestal', 'CloningBlues', 'DarknessInducedAudienceApathy', 'DeconstructionFic', 'DistractedByTheSexy', 'DysfunctionalFamilyIndex', 'ForbiddenLove', 'HappinessInSlavery', 'HasTwoMommies', 'IncestIsRelative', 'IronicEcho', 'JustForPun', 'LoveTropes', 'MenAreTough', 'MentorIndex', 'OlderThanPrint', 'OvershadowedByControversy', 'RelatedInTheAdaptation', 'SexIsEvil', 'SexualHarassmentAndRapeTropes', 'TropesAboutPerverts', 'VillainousCrush', 'WomenAreDelicate']","['GenreTropes', 'TopicalTropes']",6.62,
EliteManCourtesanRomance,"['Elite', 'Man', 'Courtesan', 'Romance']",['romance'],[7.5],"['elite', 'man', 'courtesan']",,[2],happy,"['LoveTropes', 'MenAreTough', 'WomenAreDelicate']","['GenreTropes', 'TopicalTropes']",7.5,male
GlamorousSingleMother,"['Glamorous', 'Single', 'Mother']",['mother'],[7.68],"['glamorous', 'single']",TopicalTropes,[2],happy,"['AlwaysFemale', 'TheParentTrope', 'TheSinglesIndex', 'SoMyKidsCanWatch']",['TopicalTropes'],7.68,female
SpaceshipGirl,"['Spaceship', 'Girl']",['girl'],[7.0],['spaceship'],,[2],happy,"['AlwaysFemale', 'BeethovenWasAnAlienSpy', 'DeliberateValuesDissonance', 'Fall2013Anime', 'Mon', 'OthernessTropes', 'ReplacementScrappy', 'Robot', 'RobotRollCall', 'Spacecraft', 'SpeculativeFictionTropes', 'SquarePegRoundTrope', 'ThisIndexHasAMindOfItsOwn', 'Transhuman', 'TravelCool']","['GenreTropes', 'TopicalTropes']",7.0,female
BedFullOfWomen,"['Bed', 'Full', 'Of', 'Women']","['bed', 'women']","[7.18, 7.12]","['full', 'of']",TopicalTropes,"[2, 2]",happy,"['MenAreTough', 'SexTropes', 'WomenAreDelicate']",['TopicalTropes'],7.15,female
MenActWomenAre,"['Men', 'Act', 'Women', 'Are']",['women'],[7.12],"['men', 'act', 'are']",,[2],happy,"['AcceptableFeminineGoalsAndTraits', 'ActionGirl', 'Analysis', 'DoubleStandard', 'GenderAndSexualityTropes', 'GenderDynamicsIndex', 'ManChild', 'MarySueTropes', 'MenAreTough', 'MetaConcepts', 'StayInTheKitchen', 'WomenAreDelicate']","['NarrativeTropes', 'TopicalTropes']",7.12,
ScreamsLikeALittleGirl,"['Screams', 'Like', 'A', 'Little', 'Girl']","['screams', 'like', 'girl']","[3.48, 7.22, 7.0]","['a', 'little']",,"[-2, 2, 2]",happy,"['AllGirlsWantBadBoys', 'BigCreepyCrawlies', 'ComedyTropes', 'Deathcore', 'DevelopersForesight', 'FearTropes', 'InTouchWithHisFeminineSide', 'LovableCoward', 'MasculineGirlFeminineBoy', 'MenAreTough', 'MohsScaleOfRockAndMetalHardness', 'NuMetal', 'PaperTiger', 'RightBehindMe', 'ScreamingTropes', 'SissyVillain', 'StandardStatusEffects', 'StealthHiBye', 'VocalEvolution']","['GenreTropes', 'TopicalTropes']",5.9,female
BeastMan,"['Beast', 'Man']",['beast'],[3.36],['man'],,[-2],not happy,"['AlwaysChaoticEvil', 'Analysis', 'AnimalAnthropomorphismTropes', 'AnimalStereotypes', 'AnimalTropes', 'AnimalsNotToScale', 'BadassFamily', 'BalefulPolymorph', 'BeastMan', 'BellyDancer', 'TheBigGuy', 'CharactersAsDevice', 'ClarkKenting', 'CuteMonsterGirl', 'Dehumanization', 'DemiHuman', 'DistaffCounterpart', 'FantasticSapientSpeciesTropes', 'FantasticSlurs', 'FantasyCounterpartCulture', 'Flanderization', 'FoodAsCharacterization', 'FunnyAnimalAnatomy', 'FurryComic', 'FurryConfusion', 'GeniusBruiser', 'HalfDressedCartoonAnimal', 'HalfHumanHybrid', 'HumanAliens', 'HumanlikeFootAnatomy', 'HumanoidAbomination', 'HumansAreSpecial', 'IndexOfFictionalCreatures', 'Kaiju', 'LiteralMetaphor', 'LittleBitBeastly', 'MadScientist', 'MixAndMatchCritters', 'MixedAncestry', 'MonstrousHumanoid', 'NaturalWeapon', 'NonStandardCharacterDesign', 'NotQuiteHuman', 'OurGodsAreDifferent', 'OurWerewolvesAreDifferent', 'OutsideContextProblem', 'PettingZooPeople', 'PlantPerson', 'ThePowerOfRock', 'ProphecyTwist', 'RedEyesTakeWarning', 'Shapeshifting', 'SlidingScaleOfAnthropomorphism', 'StarfishAliens', 'SuperSoldier', 'SuperWeight', 'Unicorn', 'UnisexTropes', 'WebSerialNovel', 'WerebeastTropes', 'WolfTropes', 'Youkai', 'ZanyCartoon']","['NarrativeTropes', 'TopicalTropes']",3.36,male
FeminineMotherTomboyishDaughter,"['Feminine', 'Mother', 'Tomboyish', 'Daughter']","['mother', 'daughter']","[7.68, 7.04]","['feminine', 'tomboyish']",TopicalTropes,"[2, 2]",happy,"['AlwaysFemale', 'DuoTropes', 'FamilyTropes', 'Foil', 'TheParentTrope', 'ThisIndexIsNotLikeHisFamily', 'Tomboy', 'TomboyAndGirlyGirl']",['TopicalTropes'],7.36,female
DisposableWoman,"['Disposable', 'Woman']",['woman'],[6.84],['disposable'],,[1],happy,"['AlwaysFemale', 'CharactersAsDevice', 'DamselInDistress', 'DecoyProtagonist', 'DistaffCounterpart', 'DoubleStandard', 'GenderDynamicsIndex', 'ItsPersonal', 'MenActWomenAre', 'OlderThanPrint', 'RuleOfDrama', 'StuffedIntoTheFridge', 'ThisIndexIsExpendable', 'UnfortunateImplications', 'WomanlinessAsPathos', 'WomenAreDelicate']","['NarrativeTropes', 'TopicalTropes']",6.84,female
TinyGuyHugeGirl,"['Tiny', 'Guy', 'Huge', 'Girl']",['girl'],[7.0],"['tiny', 'guy', 'huge']",,[2],happy,"['AmazonChaser', 'DuoTropes', 'Ensembles', 'Foil', 'HeightTropes', 'IndexOfRomanticCouples', 'LoveTropes', 'MasculineGirlFeminineBoy', 'OlderThanDirt', 'SickeninglySweethearts', 'TinyTropes', 'WikiSandbox', 'WomenAreDelicate']","['GenreTropes', 'NarrativeTropes', 'TopicalTropes']",7.0,
YourPrincessIsInAnotherCastle,"['Your', 'Princess', 'Is', 'In', 'Another', 'Castle']",['princess'],[7.08],"['your', 'is', 'in', 'another', 'castle']",,[2],happy,"['ArcFatigue', 'BasicMysteryClasses', 'CallingYourAttacks', 'DanBrowned', 'DiscOneFinalBoss', 'FinaglesLaw', 'HappyEndingOverride', 'HopeSpot', 'MacGuffin', 'MomentKiller', 'NiceJobBreakingItHero', 'PermanentlyMissableContent', 'Polyamory', 'ProfessionalWrestling', 'RomanceArc', 'RuleOfDrama', 'Sequel', 'StockShoutOuts', 'StormingTheCastle', 'StoryArc', 'TooGoodToBeTrue', 'TropeNamesFromMemes', 'TwistEnding', 'VideoGameSettings', 'WhamShot', 'YankTheDogsChain']","['GenreTropes', 'NarrativeTropes']",7.08,female
PrincessPhase,"['Princess', 'Phase']",['princess'],[7.08],['phase'],TopicalTropes,[2],happy,"['AcceptableFeminineGoalsAndTraits', 'AlwaysFemale', 'EskimosArentReal', 'FemininityTropes', 'GirlyGirl', 'PinkMeansFeminine', 'PrincessTropes', 'RelatedInTheAdaptation', 'TimeTropes', 'WomenAreDelicate', 'Youngsters']",['TopicalTropes'],7.08,female
MagicalGirlGenreIndex,"['Magical', 'Girl', 'Genre', 'Index']","['magical', 'girl']","[7.38, 7.0]","['genre', 'index']",,"[2, 2]",happy,"['AnimeGenres', 'Genres', 'MagicalGirlTropes']","['GenreTropes', 'NarrativeTropes']",7.19,female
LoserGetsTheGirl,"['Loser', 'Gets', 'The', 'Girl']","['loser', 'girl']","[2.2, 7.0]","['gets', 'the']",,"[-3, 2]",not happy,"['MenAreTough', 'NarrativeDevices', 'VictoryAndDefeat', 'WomenAreDelicate']","['NarrativeTropes', 'TopicalTropes']",4.6,female
MenAreTough,"['Men', 'Are', 'Tough']",['tough'],[3.96],"['men', 'are']",,[-1],not happy,"['AlwaysMale', 'EvolvingTrope', 'GenderAndSexualityTropes', 'MasculinityTropes', 'Stereotype', 'TropesInAggregate', 'WomenAreDelicate']","['NarrativeTropes', 'TopicalTropes']",3.96,male
LukeYouAreMyFather,"['Luke', 'You', 'Are', 'My', 'Father']",['father'],[7.06],"['luke', 'you', 'are', 'my']",NarrativeTropes,[2],happy,"['AbandonShipping', 'CallingTheOldManOut', 'DeconstructorFleet', 'DisappearedDad', 'FamilyTwistsIndex', 'IAmAnIndex', 'LukeIAmYourFather', 'MenAreTough', 'NarrativeDevices', 'TheParentTrope', 'ParentalIssues', 'PragmaticAdaptation', 'RussianReversal', 'ShoutOutsIndex', 'StableTimeLoop', 'TangledFamilyTree', 'ThickerThanWater', 'ThisIndexIsNotAnExample', 'UnisexTropes', 'VideoSource']",['NarrativeTropes'],7.06,male
FemaleGaze,"['Female', 'Gaze']",['female'],[6.88],['gaze'],,[2],happy,"['BestKnownForTheFanservice', 'BizarroEpisode', 'BreakoutCharacter', 'ClothingDamage', 'DistaffCounterpart', 'DragQueen', 'EvenTheGirlsWantHer', 'EvenTheGuysWantHim', 'Fanservice', 'ForeignFanservice', 'FunnyAnimalAnatomy', 'GenderAndSexualityTropes', 'GenderDynamicsIndex', 'MaleGaze', 'MetaConcepts', 'MrFanservice', 'PeripheryDemographic', 'RegencyEngland', 'ScrewThisIndexIHaveTropes', 'ShesGotLegs', 'Shoegazing', 'Summer2013Anime', 'TransformationSequence', 'UndeadHorseTrope', 'VisualKei']","['NarrativeTropes', 'TopicalTropes']",6.88,female
PluckyOfficeGirl,"['Plucky', 'Office', 'Girl']",['girl'],[7.0],"['plucky', 'office']",,[2],happy,"['AlwaysFemale', 'CharactersAsDevice', 'INeedAnIndexByMonday', 'StockCharacters']","['NarrativeTropes', 'TopicalTropes']",7.0,female
MenAreGenericWomenAreSpecial,"['Men', 'Are', 'Generic', 'Women', 'Are', 'Special']","['women', 'special']","[7.12, 7.2]","['men', 'are', 'generic', 'are']",,"[2, 2]",happy,"['Analysis', 'CuteMonsterGirl', 'DoubleStandard', 'GenderAndSexualityTropes', 'GenderDynamicsIndex', 'HaremGenre', 'MenActWomenAre', 'MenAreTough', 'MetaConcepts', 'TheMole', 'OlderThanFeudalism', 'PeripheryDemographic', 'TheSmurfettePrinciple', 'TomboyAndGirlyGirl', 'TropesInAggregate', 'WomanlinessAsPathos', 'WomenAreDelicate']","['NarrativeTropes', 'TopicalTropes']",7.16,
CosplayOtakuGirl,"['Cosplay', 'Otaku', 'Girl']",['girl'],[7.0],"['cosplay', 'otaku']",TopicalTropes,[2],happy,"['ADayInTheLimelight', 'AlwaysFemale', 'Fandom', 'FountainOfExpies', 'HobbyAndPastimeTropes', 'Moe', 'MsFanservice', 'RightBehindMe', 'StockJapaneseCharacters']",['TopicalTropes'],7.0,female
GirlInTheTower,"['Girl', 'In', 'The', 'Tower']",['girl'],[7.0],"['in', 'the', 'tower']",,[2],happy,"['AlwaysFemale', 'CallingTheOldManOut', 'DamselInDistress', 'DangerousHeights', 'DarkReprise', 'FairyTaleTropes', 'GothicHorror', 'PrincessTropes', 'PrisonTropes', 'TheTower', 'TragicVillain']","['GenreTropes', 'TopicalTropes']",7.0,female
RealMenLoveJesus,"['Real', 'Men', 'Love', 'Jesus']","['real', 'love', 'jesus']","[6.78, 8.42, 6.52]",['men'],TopicalTropes,"[1, 3, 1]",happy,"['BadassFamily', 'EveryoneHasStandards', 'ListOfBadassTropes', 'NoCelebritiesWereHarmed', 'PeripheryDemographic', 'RealMenWearPink', 'ReligionTropes', 'SubmissiveBadass']",['TopicalTropes'],7.24,male
ScreamingWoman,"['Screaming', 'Woman']","['screaming', 'woman']","[2.96, 6.84]",[],,"[-2, 1]",not happy,"['AlwaysFemale', 'BestKnownForTheFanservice', 'CharactersAsDevice', 'ContrastingSequelMainCharacter', 'CrouchingMoronHiddenBadass', 'DeadUnicornTrope', 'DoubleStandard', 'FairForItsDay', 'FixFic', 'GenderDynamicsIndex', 'GoryDiscretionShot', 'HorrorTropes', 'MakeMeWannaShout', 'MenActWomenAre', 'Opera', 'ScreamingTropes', 'ScreamsLikeALittleGirl', 'SealedEvilInACan', 'SlasherMovie', 'StockParodyJokes', 'WomanlinessAsPathos', 'WomenAreDelicate']","['GenreTropes', 'NarrativeTropes', 'TopicalTropes']",4.9,female
HumanoidFemaleAnimal,"['Humanoid', 'Female', 'Animal']","['female', 'animal']","[6.88, 6.8]",['humanoid'],TopicalTropes,"[2, 1]",happy,"['AlwaysFemale', 'Analysis', 'AnimalAnthropomorphismTropes', 'CuteMonsterGirl', 'FantasticSapientSpeciesTropes', 'FunnyAnimalTropes', 'FurryConfusion', 'FurryWebcomics', 'SlidingScaleOfAnthropomorphism']",['TopicalTropes'],6.84,female
FemaleFelineMaleMutt,"['Female', 'Feline', 'Male', 'Mutt']",['female'],[6.88],"['feline', 'male', 'mutt']",,[2],happy,"['Analysis', 'AnimalStereotypes', 'MenAreTough', 'SamusIsAGirl', 'ThisIndexBarks', 'ThisIndexMeows', 'WomenAreDelicate']",[],6.88,
FemaleMisogynist,"['Female', 'Misogynist']",['female'],[6.88],['misogynist'],,[2],happy,"['AlwaysFemale', 'CharacterFlawIndex', 'CharactersAsDevice', 'CynicismTropes', 'EvenTheGirlsWantHer', 'GenderDynamicsIndex', 'HatredTropes', 'Hypocrite', 'ItsPersonal', 'PoliticallyIncorrectVillain', 'PrejudiceTropes', 'Tomboy', 'WomanlinessAsPathos', 'WomenAreDelicate', 'YouHateWhatYouAre']","['NarrativeTropes', 'TopicalTropes']",6.88,female
DeterminedHomesteadersWife,"['Determined', 'Homesteaders', 'Wife']","['determined', 'wife']","[6.5, 6.62]",['homesteaders'],TopicalTropes,"[1, 1]",happy,"['AlwaysFemale', 'CountrysideIndex', 'MarriageTropes', 'WesternCharacters', 'WomenAreDelicate']",['TopicalTropes'],6.56,female
TheWomenAreSafeWithUs,"['The', 'Women', 'Are', 'Safe', 'With', 'Us']","['women', 'safe']","[7.12, 7.04]","['the', 'are', 'with', 'us']",TopicalTropes,"[2, 2]",happy,"['HumanRightsIssues', 'SexualHarassmentAndRapeTropes', 'WomenAreDelicate']",['TopicalTropes'],7.08,female
HugeGuyTinyGirl,"['Huge', 'Guy', 'Tiny', 'Girl']",['girl'],[7.0],"['huge', 'guy', 'tiny']",,[2],happy,"['AbhorrentAdmirer', 'ActuallyPrettyFunny', 'DuoTropes', 'Ensembles', 'Foil', 'HeightTropes', 'IndexOfRomanticCouples', 'LoveTropes', 'MakingLoveInAllTheWrongPlaces', 'MenAreTough', 'RagtagBunchOfMisfits', 'ShipTease', 'TinyTropes', 'TotemPoleTrench', 'WomenAreDelicate']","['GenreTropes', 'NarrativeTropes', 'TopicalTropes']",7.0,
AnimeChineseGirl,"['Anime', 'Chinese', 'Girl']",['girl'],[7.0],"['anime', 'chinese']",TopicalTropes,[2],happy,"['AlwaysFemale', 'AnimeReality', 'AsianIndex', 'ChewingTheScenery', 'EvilIsSexy', 'ForeignFanservice', 'IJustWantToBeNormal', 'InterestingSituationDuel', 'NationalStereotypes', 'RaceTropes', 'StereotypesOfChinesePeople', 'StockJapaneseCharacters']",['TopicalTropes'],7.0,female
TellMeAboutMyFather,"['Tell', 'Me', 'About', 'My', 'Father']","['me', 'father']","[6.58, 7.06]","['tell', 'about', 'my']",,"[1, 2]",happy,"['DeadGuyJunior', 'Dialogue', 'DisappearedDad', 'InformationDesk', 'LockedOutOfTheLoop', 'LukeIAmYourFather', 'MenAreTough', 'OlderThanFeudalism', 'TheParentTrope', 'ParentalAbandonment', 'ParentalSubstitute', 'StockPhrases', 'TomatoInTheMirror', 'Youngsters']","['NarrativeTropes', 'TopicalTropes']",6.82,male
MenLikeDogsWomenLikeCats,"['Men', 'Like', 'Dogs', 'Women', 'Like', 'Cats']","['like', 'dogs', 'women', 'like', 'cats']","[7.22, 6.78, 7.12, 7.22, 6.54]",['men'],,"[2, 1, 2, 2, 1]",happy,"['GenderDynamicsIndex', 'MenAreTough', 'PetAndAnimalCompanionTropes', 'Stereotype', 'ThisIndexBarks', 'ThisIndexMeows', 'WomenAreDelicate']","['NarrativeTropes', 'TopicalTropes']",6.98,
YouGoGirl,"['You', 'Go', 'Girl']",['girl'],[7.0],"['you', 'go']",,[2],happy,"['ActionGirl', 'BrokenAesop', 'DistaffCounterpart', 'GenderAndSexualityTropes', 'Plots', 'ShowingUpChauvinists', 'SportsStoryTropes', 'StayInTheKitchen', 'StockAesops']","['GenreTropes', 'NarrativeTropes', 'TopicalTropes']",7.0,female
RealMenCook,"['Real', 'Men', 'Cook']","['real', 'cook']","[6.78, 6.64]",['men'],TopicalTropes,"[1, 1]",happy,"['DistaffCounterpart', 'FoodTropes', 'MasculineGirlFeminineBoy', 'MasculinityTropes', 'MenAreTough']",['TopicalTropes'],6.71,male
CherryBlossomGirl,"['Cherry', 'Blossom', 'Girl']","['cherry', 'girl']","[7.04, 7.0]",['blossom'],TopicalTropes,"[2, 2]",happy,"['FlowerGardenIndex', 'NamingConventions', 'PinkMeansFeminine', 'StockJapaneseCharacters', 'WomenAreDelicate']",['TopicalTropes'],7.02,female
WorldsMostBeautifulWoman,"['Worlds', 'Most', 'Beautiful', 'Woman']","['beautiful', 'woman']","[7.92, 6.84]","['worlds', 'most']",,"[3, 1]",happy,"['AcceptableFeminineGoalsAndTraits', 'TheAce', 'AlwaysFemale', 'ArchetypalCharacter', 'AttractionToOutliers', 'AttractionTropes', 'TheBeautifulTropes', 'BeautyEqualsGoodness', 'DamselInDistress', 'DeconstructedTrope', 'DistaffCounterpart', 'MenActWomenAre', 'PrincessTropes', 'RelatedInTheAdaptation', 'TheSmartGuy', 'StockCharacters', 'TakeOurWordForIt', 'TakenForGranite', 'WishFulfillment', 'WomanlinessAsPathos', 'WomenAreDelicate', 'WorldsBestCharacter']","['NarrativeTropes', 'TopicalTropes']",7.38,female
GirlGroup,"['Girl', 'Group']",['girl'],[7.0],['group'],MediaTropes,[2],happy,"['AlternateCompanyEquivalent', 'AlwaysFemale', 'BestKnownForTheFanservice', 'ContemporaryRAndB', 'Crunkcore', 'DistaffCounterpart', 'FaceOfTheBand', 'GenderBender', 'GirlGroup', 'GospelMusic', 'IdolGenre', 'KPop', 'KoreanPopMusic', 'Metal', 'Misblamed', 'MultinationalTeam', 'MusicOfThe1960s', 'MusicOfThe2000s', 'MusicTropes', 'TheNineties', 'OneHitWonder', 'Pop', 'PopRevival', 'Protopunk', 'TheSixties', 'StockParodyJokes', 'StockShoutOuts', 'TeenPop', 'TurnOfTheMillennium', 'TheVerse', 'WeAllLiveInAmerica']",['MediaTropes'],7.0,female
FourGirlEnsemble,"['Four', 'Girl', 'Ensemble']",['girl'],[7.0],"['four', 'ensemble']",NarrativeTropes,[2],happy,"['ADayInTheLimelight', 'AlwaysFemale', 'BettyAndVeronica', 'TheEighties', 'Ensembles', 'GirlGroup', 'IvyLeagueForEveryone', 'LaserGuidedAmnesia', 'SchoolgirlSeries', 'Spring2011Anime', 'Summer2011Anime', 'TomboyAndGirlyGirl', 'YuriGenre']",['NarrativeTropes'],7.0,female
AllWomenAreLustful,"['All', 'Women', 'Are', 'Lustful']",['women'],[7.12],"['all', 'are', 'lustful']",,[2],happy,"['ADateWithRosiePalms', 'TheAce', 'AlwaysFemale', 'BareYourMidriff', 'CharacterFlawIndex', 'CluelessChickMagnet', 'CyclicTrope', 'DeadpanSnarker', 'DeliberateValuesDissonance', 'DistaffCounterpart', 'DoubleStandard', 'EuropeansAreKinky', 'EvenTheGirlsWantHer', 'EvenTheGuysWantHim', 'EvilIsSexy', 'FatalFlaw', 'GenderDynamicsIndex', 'HappinessInSlavery', 'HaremGenre', 'IndexOfGothicHorrorTropes', 'MustHaveCaffeine', 'PlanetOfHats', 'SamusIsAGirl', 'SexTropes', 'Stereotype', 'TropesAboutPerverts', 'TropesInAggregate', 'TheUnfairSex', 'WomanlinessAsPathos', 'WomenAreDelicate']","['NarrativeTropes', 'TopicalTropes']",7.12,female
